ClassID,StudentID,KumonGradeLevel,LineNumber,AssignDate,AssignNumber,Location,WkFrom,WkTo,WkTime,Wk1Score,Wk2Score,Wk3Score,Wk4Score,Wk5Score,Wk6Score,Wk7Score,Wk8Score,Wk9Score,Wk10Score,NCOR,Comments,Status
02210274,8401950306778,AI,2,20-Feb-20,1,C,51,60,27,100,100,100,80,100,100,70,100,100,100,1,CB: reads everything outloud. if he doesnt know a word- he sounds out. goes at a slow pace- trying t,1
02210274,8401851017957,AI,9,21-Feb-20,1,C,181,185,21,100,100,100,100,100,0,0,0,0,0,2,stephanie: he had lots of trouble spelling most of the words. he was able to sound them out and read,1
02210274,8401950443381,BI,2,25-Mar-20,1,H,51,55,,,,,,,,,,,,,,2
02210274,8401950224614,AII,2,09-Mar-20,1,C,176,180,6,0,0,0,0,0,100,100,70,80,69,0,,1
02210274,8401950123689,CI,2,28-Mar-20,1,H,131,135,16,69,100,100,100,100,0,0,0,0,0,0,,1
02210274,8401950620492,AII,1,29-Mar-20,1,H,156,160,,,,,,,,,,,,,,2
02210274,8402050085815,AI,1,30-Mar-20,1,C,111,120,,,,,,,,,,,,,,0
02210274,8402050085747,BII,1,13-Apr-20,1,H,21,30,,,,,,,,,,,,,,0
02210274,8401950873577,AII,1,15-Apr-20,1,H,36,40,,,,,,,,,,,,,,0
02210274,8402050085709,AII,1,06-Mar-20,1,H,171,180,20,100,100,100,90,100,100,100,100,100,100,0,,1
02210274,8401950734984,AI,5,07-Mar-20,1,H,146,150,0,0,0,0,0,0,0,0,100,69,100,0,,2
02210274,8401950443312,CI,3,01-Mar-20,1,H,126,130,,,,,,,,,,,,,,0
02210274,8401750488070,AII,1,02-Mar-20,1,C,156,160,21,0,0,0,0,0,80,100,69,100,100,0,,1
02210274,8401950873607,CI,1,31-Mar-20,1,H,181,185,,,,,,,,,,,,,,0
02210274,8401950873539,BII,1,17-Mar-20,1,H,191,195,,,,,,,,,,,,,,0
02210274,8401950873607,CI,1,08-Mar-20,1,H,71,75,21,100,100,90,70,70,0,0,0,0,0,0,,1
02210274,8401850800666,AI,1,23-Feb-20,1,H,91,95,0,100,100,100,100,100,0,0,0,0,0,0,,1
02210274,8401850850845,AI,4,14-Apr-20,1,H,141,144,,,,,,,,,,,,,,0
02210274,8401951204301,BII,3,24-Feb-20,1,C,101,110,18,100,90,100,100,100,100,100,100,100,100,0,,1
02210274,8401650855019,BI,5,16-Mar-20,1,H,128,130,,,,,,,,,,,,,,0
02210274,8401850286880,BII,3,25-Feb-20,1,H,181,183,,,,,,,,,,,,,,0
02210274,8401951204301,CI,1,30-Mar-20,1,C,121,125,,,,,,,,,,,,,,0
02210274,8401950873577,AI,5,23-Mar-20,1,H,161,165,148,100,100,100,90,90,0,0,0,0,0,0,,1
02210274,8401950224614,AII,2,20-Feb-20,1,C,91,95,24,100,80,100,100,100,0,0,0,0,0,0,,1
02210274,8401850359942,BI,5,22-Mar-20,1,H,181,184,,,,,,,,,,,,,,0
02210274,8401751179687,BII,6,19-Feb-20,1,H,146,148,0,0,0,0,0,0,100,69,100,0,0,0,,1
02210274,8401950022036,BI,2,20-Mar-20,1,H,36,40,,,,,,,,,,,,,,0
02210274,8401951091390,AI,2,14-Apr-20,1,H,41,45,,,,,,,,,,,,,,0
02210274,8401950734984,AII,1,15-Apr-20,1,H,71,75,,,,,,,,,,,,,,0
02210274,8401850523923,BI,5,22-Mar-20,1,H,181,185,0,69,90,70,0,0,0,0,0,0,0,0,,2
02210274,8401950443381,AII,3,21-Feb-20,1,C,131,135,14,100,100,100,100,100,0,0,0,0,0,1,stephanie: he reads very well and is able to understand and answer questions on his own. working at,1
02210274,8401950873607,CI,1,05-Mar-20,1,C,56,60,27,0,0,0,0,0,100,69,70,100,69,0,,1
02210274,8401950123689,CI,1,23-Feb-20,1,H,101,105,26,100,100,100,90,70,0,0,0,0,0,0,,1
02210274,8401950873539,CI,1,20-Mar-20,1,H,6,10,,,,,,,,,,,,,,0
02210274,8401950734984,AI,5,27-Feb-20,1,C,106,110,17,0,0,0,0,0,100,100,70,100,100,0,,1
02210274,8401950224614,AII,2,13-Mar-20,1,H,196,200,14,0,0,0,0,0,100,100,100,100,100,0,,1
02210274,8401650854982,CI,5,27-Mar-20,1,H,198,200,,,,,,,,,,,,,,0
02210274,8401950957857,CI,1,09-Apr-20,1,H,21,25,,,,,,,,,,,,,,0
02210274,8401750219414,AI,19,19-Feb-20,1,H,186,190,0,0,0,0,0,0,100,100,90,100,100,0,,1
02210274,8401751179687,BII,7,11-Mar-20,1,H,164,165,0,0,0,0,69,69,0,0,0,0,0,0,,1
02210274,8401850359942,BI,4,06-Mar-20,1,H,168,170,0,0,0,0,0,0,0,0,0,100,90,0,,2
02210274,8401850524067,BI,1,23-Mar-20,1,H,148,150,,,,,,,,,,,,,,0
02210274,8401950873614,BII,3,06-Apr-20,1,C,35,37,,,,,,,,,,,,,,0
02210274,8401850800710,CI,1,06-Mar-20,1,H,145,147,10,0,0,0,0,69,100,100,0,0,0,0,,1
02210274,8401950224614,BI,2,01-Apr-20,1,H,51,55,,,,,,,,,,,,,,2
02210274,8401951204264,BII,1,21-Feb-20,1,H,66,70,10,0,0,0,0,0,100,100,100,100,100,0,,1
02210274,8401751179687,BII,7,02-Mar-20,1,C,144,145,0,0,0,0,100,80,0,0,0,0,0,0,,1
02210274,8401851017957,AI,10,27-Feb-20,1,H,196,200,13,0,0,0,0,0,100,100,100,100,100,0,,1
02210274,8401951204264,BII,1,09-Mar-20,1,C,151,155,24,100,100,70,100,70,0,0,0,0,0,0,,1
02210274,8401950224560,BII,6,05-Mar-20,1,C,131,134,20,100,100,100,100,0,0,0,0,0,0,0,,1
02210274,8401950443312,CI,5,21-Mar-20,1,H,176,180,,,,,,,,,,,,,,0
02210274,8401950224560,BII,5,16-Feb-20,1,H,98,100,10,0,0,0,0,0,0,0,100,69,100,0,,1
02210274,8401650854982,CI,5,21-Mar-20,1,H,178,180,,,,,,,,,,,,,,0
02210274,8401850800710,CI,1,29-Feb-20,1,H,125,127,8,0,0,0,0,69,100,100,0,0,0,0,,1
02210274,8401850800666,AI,2,12-Apr-20,1,H,156,160,,,,,,,,,,,,,,0
02210274,8402050239263,AI,1,13-Apr-20,1,C,21,30,,,,,,,,,,,,,,0
02210274,8402050085709,AII,1,04-Mar-20,1,H,141,150,22,100,100,100,100,100,100,100,100,100,100,0,,1
02210274,8401950620492,AII,1,04-Apr-20,1,H,186,190,,,,,,,,,,,,,,2
02210274,8401950873614,BII,2,20-Mar-20,1,H,8,10,,,,,,,,,,,,,,0
02210274,8401950620492,BI,1,12-Apr-20,1,H,6,10,,,,,,,,,,,,,,0
02210274,8401850800666,AI,1,01-Mar-20,1,H,111,115,0,100,100,100,100,100,0,0,0,0,0,0,,1
